# mpedb sqllogictest corpus baseline.
# Regenerate deliberately with --write-baseline; never by hand.
# root /home/morten/sqllogictest/test
# key	total	pass	unsupported	wrong	errmis	skipped	fatal
random/aggregates/slt_good_62.test	13909	10012	0	0	0	3897	0
random/aggregates/slt_good_63.test	14022	10012	0	0	0	4010	0
random/aggregates/slt_good_64.test	13917	10012	0	0	0	3905	0
random/aggregates/slt_good_65.test	13981	10012	0	0	0	3969	0
random/aggregates/slt_good_66.test	13920	10012	0	0	0	3908	0
random/aggregates/slt_good_67.test	13979	10012	0	0	0	3967	0
random/aggregates/slt_good_68.test	14029	10012	0	0	0	4017	0
random/aggregates/slt_good_69.test	13969	10012	0	0	0	3957	0
random/aggregates/slt_good_7.test	13890	10012	0	0	0	3878	0
random/aggregates/slt_good_70.test	13896	10012	0	0	0	3884	0
random/aggregates/slt_good_71.test	13991	10012	0	0	0	3979	0
random/aggregates/slt_good_72.test	13972	10012	0	0	0	3960	0
random/aggregates/slt_good_73.test	14020	10012	0	0	0	4008	0
random/aggregates/slt_good_74.test	14030	10012	0	0	0	4018	0
random/aggregates/slt_good_75.test	14111	10012	0	0	0	4099	0
random/aggregates/slt_good_76.test	13980	10012	0	0	0	3968	0
random/aggregates/slt_good_77.test	13980	10012	0	0	0	3968	0
random/aggregates/slt_good_78.test	14034	10012	0	0	0	4022	0
random/aggregates/slt_good_79.test	13960	10012	0	0	0	3948	0
random/aggregates/slt_good_8.test	13908	10012	0	0	0	3896	0
random/aggregates/slt_good_80.test	14018	10012	0	0	0	4006	0
random/aggregates/slt_good_81.test	13939	10012	0	0	0	3927	0
random/aggregates/slt_good_82.test	13952	10012	0	0	0	3940	0
random/aggregates/slt_good_83.test	13936	10012	0	0	0	3924	0
random/aggregates/slt_good_84.test	13905	10012	0	0	0	3893	0
random/aggregates/slt_good_85.test	13914	10012	0	0	0	3902	0
random/aggregates/slt_good_86.test	13905	10012	0	0	0	3893	0
random/aggregates/slt_good_87.test	13957	10012	0	0	0	3945	0
random/aggregates/slt_good_88.test	13930	10012	0	0	0	3918	0
random/aggregates/slt_good_89.test	14028	10012	0	0	0	4016	0
random/aggregates/slt_good_9.test	13840	10012	0	0	0	3828	0
random/aggregates/slt_good_90.test	13953	10012	0	0	0	3941	0
random/aggregates/slt_good_91.test	13921	10012	0	0	0	3909	0
random/aggregates/slt_good_92.test	13893	10012	0	0	0	3881	0
random/aggregates/slt_good_93.test	13868	10012	0	0	0	3856	0
random/aggregates/slt_good_94.test	13898	10012	0	0	0	3886	0
random/aggregates/slt_good_95.test	13883	10012	0	0	0	3871	0
random/aggregates/slt_good_96.test	14018	10012	0	0	0	4006	0
random/aggregates/slt_good_97.test	14012	10012	0	0	0	4000	0
random/aggregates/slt_good_98.test	13900	10012	0	0	0	3888	0
random/aggregates/slt_good_99.test	13914	10012	0	0	0	3902	0
random/expr/slt_good_0.test	15426	10012	0	0	0	5414	0
random/expr/slt_good_1.test	13883	10012	0	0	0	3871	0
random/expr/slt_good_10.test	15823	10012	0	0	0	5811	0
